Metabolites,Antimetabolites category,Patient 2556,Patient 2766,Patient 2177,Patient 3196,Patient 3477,Patient 2280,,
docosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
docosanoylcarnitine,Discarded fat content,0,0,1,1,1,1,,
dodecanoylcarnitine,Discarded fat content,1,1,1,1,1,1,,
"eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
eicosanoate,Discarded fat content,1,1,1,1,1,1,,
eicosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
elaidate,Discarded fat content,1,1,1,1,1,1,,
fatty acid-LD-SM pool,Discarded fat content,0,1,1,1,0,1,,
gamma-linolenate,Discarded fat content,1,1,1,1,1,1,,
gamma-linolenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
heneicosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
henicosanoic acid,Discarded fat content,1,1,1,1,1,1,,
heptadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
heptadecenoylcarnitine(7),Discarded fat content,1,1,1,1,1,1,,
heptanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
hexacosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
hexacosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
hexanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
lauric acid,Discarded fat content,1,1,1,1,1,1,,
lauroyl-CoA,Discarded fat content,1,1,1,1,1,1,,
lignocerate,Discarded fat content,1,1,1,1,1,1,,
linoleate,Discarded fat content,1,1,1,1,1,1,,
linolenate,Discarded fat content,1,1,1,1,1,1,,
linolenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
linoleoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
margaric acid,Discarded fat content,1,1,1,1,1,1,,
mead acid,Discarded fat content,1,1,1,1,1,1,,
myristic acid,Discarded fat content,1,1,1,1,1,1,,
myristoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
nervonic acid,Discarded fat content,1,1,1,1,1,1,,
nonadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
nonadecylic acid,Discarded fat content,1,1,1,1,1,1,,
nonanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
octadecenoylcarnitine(5),Discarded fat content,1,1,1,1,1,1,,
octanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
oleate,Discarded fat content,1,1,1,1,1,1,,
oleoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
omega-3-arachidonic acid,Discarded fat content,1,1,1,1,1,1,,
palmitate,Discarded fat content,1,1,1,1,1,1,,
palmitolate,Discarded fat content,1,1,1,1,1,1,,
palmitoleoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
palmitoleoyl-carnitine,Discarded fat content,1,1,1,1,1,1,,
palmitoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
pentadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
pentadecanoylcarnitine,Discarded fat content,1,1,1,1,1,1,,
pentadecylic acid,Discarded fat content,1,1,1,1,1,1,,
pentanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
phosphatidate-CL pool,Discarded fat content,1,1,1,1,1,1,,
phosphatidate-LD-PC pool,Discarded fat content,1,1,1,1,1,1,,
phosphatidate-LD-PI pool,Discarded fat content,1,1,1,1,1,1,,
phosphatidate-LD-SM pool,Discarded fat content,0,0,0,0,0,1,,
physeteric acid,Discarded fat content,1,1,1,1,1,1,,
propanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
sn-glycerol-3-phosphate,Discarded fat content,1,1,1,1,1,1,,
stearate,Discarded fat content,1,1,1,1,1,1,,
stearidonic acid,Discarded fat content,1,1,1,1,1,1,,
stearoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
tetracosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"trans,cis-2,11-eicosadienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans,cis-2,13-docosadienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans,cis-2,15-tetracosadienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans,cis-hexadeca-2,7-dienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans,cis-hexadeca-2,9-dienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans,cis-myristo-2,5-dienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans,cis-myristo-2,7-dienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans,cis-octadeca-2,9-dienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA",Discarded fat content,1,0,1,0,0,0,,
tricosanoic acid,Discarded fat content,1,1,1,1,1,1,,
tricosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
tridecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
tridecylic acid,Discarded fat content,1,1,1,1,1,1,,
triphosphate,Discarded fat content,1,1,1,1,1,1,,
undecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
ximenic acid,Discarded fat content,1,1,1,1,1,1,,
