"","Category","Term","Count","Percentage","Pvalue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_BP_5","GO:0000279~M phase","56","3.65296803652968","9.555426922269189E-8","ENSG00000173465, ENSG00000076242, ENSG00000156256, ENSG00000171720, ENSG00000213397, ENSG00000176386, ENSG00000101367, ENSG00000125207, ENSG00000152253, ENSG00000094880, ENSG00000101972, ENSG00000164611, ENSG00000163808, ENSG00000186871, ENSG00000126787, ENSG00000117632, ENSG00000135698, ENSG00000141552, ENSG00000177302, ENSG00000116584, ENSG00000163939, ENSG00000134690, ENSG00000121152, ENSG00000146670, ENSG00000011426, ENSG00000187531, ENSG00000100345, ENSG00000176248, ENSG00000137100, ENSG00000110274, ENSG00000153140, ENSG00000072501, ENSG00000148773, ENSG00000121274, ENSG00000170312, ENSG00000089685, ENSG00000197275, ENSG00000183479, ENSG00000137804, ENSG00000013810, ENSG00000178999, ENSG00000127564, ENSG00000100918, ENSG00000075388, ENSG00000100029, ENSG00000005156, ENSG00000145919, ENSG00000117399, ENSG00000112130, ENSG00000185627, ENSG00000158402, ENSG00000133739, ENSG00000117697, ENSG00000105127, ENSG00000147400, ENSG00000198901, ENSG00000104147","980","329","12292","2.1349544072948325","1.7188736431250629E-4","1.7188736431250629E-4","1.6225612406994827E-4"
"2","GOTERM_BP_5","GO:0000087~M phase of mitotic cell cycle","43","2.804957599478147","1.3197148085548007E-7","ENSG00000173465, ENSG00000137100, ENSG00000156256, ENSG00000110274, ENSG00000213397, ENSG00000153140, ENSG00000072501, ENSG00000121274, ENSG00000176386, ENSG00000170312, ENSG00000089685, ENSG00000101367, ENSG00000183479, ENSG00000137804, ENSG00000152253, ENSG00000178999, ENSG00000127564, ENSG00000075388, ENSG00000094880, ENSG00000100029, ENSG00000101972, ENSG00000164611, ENSG00000163808, ENSG00000186871, ENSG00000117399, ENSG00000145919, ENSG00000126787, ENSG00000112130, ENSG00000135698, ENSG00000141552, ENSG00000116584, ENSG00000158402, ENSG00000134690, ENSG00000163939, ENSG00000121152, ENSG00000146670, ENSG00000133739, ENSG00000117697, ENSG00000011426, ENSG00000105127, ENSG00000147400, ENSG00000187531, ENSG00000176248, ENSG00000104147","980","224","12292","2.407780612244898","2.3738852860666348E-4","1.187013093036926E-4","2.2409438010795313E-4"
"3","GOTERM_BP_5","GO:0007067~mitosis","41","2.674494455316373","6.064135248315709E-7","ENSG00000173465, ENSG00000137100, ENSG00000156256, ENSG00000110274, ENSG00000213397, ENSG00000153140, ENSG00000072501, ENSG00000121274, ENSG00000176386, ENSG00000170312, ENSG00000089685, ENSG00000101367, ENSG00000183479, ENSG00000137804, ENSG00000152253, ENSG00000178999, ENSG00000127564, ENSG00000075388, ENSG00000094880, ENSG00000100029, ENSG00000101972, ENSG00000164611, ENSG00000163808, ENSG00000186871, ENSG00000117399, ENSG00000145919, ENSG00000126787, ENSG00000112130, ENSG00000141552, ENSG00000116584, ENSG00000158402, ENSG00000134690, ENSG00000163939, ENSG00000146670, ENSG00000121152, ENSG00000133739, ENSG00000117697, ENSG00000011426, ENSG00000105127, ENSG00000147400, ENSG00000176248, ENSG00000104147","980","220","12292","2.3375324675324674","0.0010903434051575678","3.635799760975944E-4","0.001029717533651553"
"4","GOTERM_BP_5","GO:0031345~negative regulation of cell projection organization","9","0.5870841487279843","0.0011572055668590132","ENSG00000040608, ENSG00000105695, ENSG00000076928, ENSG00000128245, ENSG00000001617, ENSG00000118785, ENSG00000142949, ENSG00000127870, ENSG00000067560","980","28","12292","4.031632653061225","0.8754462946161323","0.4059278913099751","1.9469322580210946"
"5","GOTERM_BP_5","GO:0016070~RNA metabolic process","100","6.523157208088715","0.0019335543350516276","ENSG00000174173, ENSG00000076242, ENSG00000113643, ENSG00000174891, ENSG00000083635, ENSG00000125347, ENSG00000124782, ENSG00000124787, ENSG00000139910, ENSG00000148688, ENSG00000066044, ENSG00000138231, ENSG00000075856, ENSG00000164944, ENSG00000104177, ENSG00000138668, ENSG00000117133, ENSG00000160570, ENSG00000065183, ENSG00000187531, ENSG00000182909, ENSG00000198874, ENSG00000205571, ENSG00000169217, ENSG00000074201, ENSG00000131773, ENSG00000072501, ENSG00000082641, ENSG00000120832, ENSG00000142192, ENSG00000131051, ENSG00000213928, ENSG00000124383, ENSG00000137699, ENSG00000103495, ENSG00000165526, ENSG00000128829, ENSG00000172062, ENSG00000204394, ENSG00000111206, ENSG00000031698, ENSG00000178896, ENSG00000070495, ENSG00000101161, ENSG00000155438, ENSG00000067596, ENSG00000104413, ENSG00000100462, ENSG00000137815, ENSG00000107371, ENSG00000085231, ENSG00000171311, ENSG00000126814, ENSG00000116679, ENSG00000170860, ENSG00000110619, ENSG00000160214, ENSG00000089195, ENSG00000122882, ENSG00000175467, ENSG00000163435, ENSG00000105202, ENSG00000101361, ENSG00000178718, ENSG00000117360, ENSG00000178913, ENSG00000183258, ENSG00000125207, ENSG00000145388, ENSG00000187325, ENSG00000103671, ENSG00000179115, ENSG00000105865, ENSG00000169371, ENSG00000164611, ENSG00000090060, ENSG00000136327, ENSG00000171566, ENSG00000125686, ENSG00000166200, ENSG00000134987, ENSG00000104884, ENSG00000116016, ENSG00000116698, ENSG00000143368, ENSG00000153147, ENSG00000129691, ENSG00000151846, ENSG00000115816, ENSG00000104859, ENSG00000162889, ENSG00000011304, ENSG00000100029, ENSG00000100028, ENSG00000092208, ENSG00000175592, ENSG00000101654, ENSG00000117614, ENSG00000113196, ENSG00000128016, ENSG00000105705","980","938","12292","1.3371915930551326","0.9692489607873497","0.5016069707952258","3.2330395182632032"
"6","GOTERM_BP_5","GO:0010564~regulation of cell cycle process","19","1.2393998695368558","0.0038140393971910396","ENSG00000127616, ENSG00000127564, ENSG00000105971, ENSG00000094880, ENSG00000128342, ENSG00000099985, ENSG00000097046, ENSG00000132323, ENSG00000158806, ENSG00000175756, ENSG00000126787, ENSG00000167513, ENSG00000089685, ENSG00000158402, ENSG00000100462, ENSG00000134318, ENSG00000082898, ENSG00000011426, ENSG00000137804","980","114","12292","2.0904761904761906","0.9989662632978416","0.6820186447574279","6.282780981614389"
"7","GOTERM_BP_5","GO:0010942~positive regulation of cell death","51","3.326810176125244","0.005264181674675626","ENSG00000155876, ENSG00000076242, ENSG00000099968, ENSG00000175467, ENSG00000164978, ENSG00000133884, ENSG00000124802, ENSG00000160293, ENSG00000050748, ENSG00000172613, ENSG00000117318, ENSG00000113889, ENSG00000118689, ENSG00000196954, ENSG00000131747, ENSG00000115317, ENSG00000136156, ENSG00000164938, ENSG00000162711, ENSG00000126217, ENSG00000116584, ENSG00000003400, ENSG00000129071, ENSG00000100485, ENSG00000198626, ENSG00000160570, ENSG00000104884, ENSG00000124126, ENSG00000162604, ENSG00000011332, ENSG00000105327, ENSG00000089486, ENSG00000142949, ENSG00000026508, ENSG00000142192, ENSG00000162736, ENSG00000181019, ENSG00000091436, ENSG00000127946, ENSG00000142856, ENSG00000176884, ENSG00000130762, ENSG00000134243, ENSG00000089041, ENSG00000175592, ENSG00000132676, ENSG00000104312, ENSG00000079805, ENSG00000115904, ENSG00000126003, ENSG00000136238","980","435","12292","1.470541871921182","0.9999247938275819","0.7424311403783583","8.572577182223796"
"8","GOTERM_BP_5","GO:0043065~positive regulation of apoptosis","50","3.2615786040443573","0.006718675719377705","ENSG00000076242, ENSG00000099968, ENSG00000175467, ENSG00000164978, ENSG00000124802, ENSG00000133884, ENSG00000160293, ENSG00000050748, ENSG00000172613, ENSG00000117318, ENSG00000113889, ENSG00000118689, ENSG00000196954, ENSG00000131747, ENSG00000115317, ENSG00000164938, ENSG00000136156, ENSG00000162711, ENSG00000126217, ENSG00000116584, ENSG00000129071, ENSG00000003400, ENSG00000100485, ENSG00000198626, ENSG00000160570, ENSG00000104884, ENSG00000124126, ENSG00000162604, ENSG00000011332, ENSG00000105327, ENSG00000089486, ENSG00000142949, ENSG00000026508, ENSG00000142192, ENSG00000162736, ENSG00000181019, ENSG00000091436, ENSG00000142856, ENSG00000127946, ENSG00000176884, ENSG00000130762, ENSG00000134243, ENSG00000089041, ENSG00000175592, ENSG00000132676, ENSG00000104312, ENSG00000079805, ENSG00000115904, ENSG00000126003, ENSG00000136238","980","430","12292","1.4584717607973423","0.9999945922875036","0.7804028500741798","10.816280499690379"
"9","GOTERM_BP_5","GO:0043068~positive regulation of programmed cell death","50","3.2615786040443573","0.007675137012408084","ENSG00000076242, ENSG00000099968, ENSG00000175467, ENSG00000164978, ENSG00000124802, ENSG00000133884, ENSG00000160293, ENSG00000050748, ENSG00000172613, ENSG00000117318, ENSG00000113889, ENSG00000118689, ENSG00000196954, ENSG00000131747, ENSG00000115317, ENSG00000164938, ENSG00000136156, ENSG00000162711, ENSG00000126217, ENSG00000116584, ENSG00000129071, ENSG00000003400, ENSG00000100485, ENSG00000198626, ENSG00000160570, ENSG00000104884, ENSG00000124126, ENSG00000162604, ENSG00000011332, ENSG00000105327, ENSG00000089486, ENSG00000142949, ENSG00000026508, ENSG00000142192, ENSG00000162736, ENSG00000181019, ENSG00000091436, ENSG00000142856, ENSG00000127946, ENSG00000176884, ENSG00000130762, ENSG00000134243, ENSG00000089041, ENSG00000175592, ENSG00000132676, ENSG00000104312, ENSG00000079805, ENSG00000115904, ENSG00000126003, ENSG00000136238","980","433","12292","1.4483668756186077","0.9999990443094621","0.7856387084093628","12.263364579180003"
"10","GOTERM_BP_5","GO:0042981~regulation of apoptosis","84","5.47945205479452","0.007743839074591757","ENSG00000076242, ENSG00000099968, ENSG00000171720, ENSG00000175467, ENSG00000153774, ENSG00000164978, ENSG00000124802, ENSG00000133884, ENSG00000173039, ENSG00000123612, ENSG00000160293, ENSG00000050748, ENSG00000185686, ENSG00000172613, ENSG00000117318, ENSG00000113889, ENSG00000187325, ENSG00000118689, ENSG00000067900, ENSG00000196954, ENSG00000131747, ENSG00000115317, ENSG00000188428, ENSG00000019582, ENSG00000187871, ENSG00000164938, ENSG00000136156, ENSG00000125398, ENSG00000162711, ENSG00000126217, ENSG00000116584, ENSG00000129071, ENSG00000003400, ENSG00000100485, ENSG00000198626, ENSG00000160570, ENSG00000084207, ENSG00000104884, ENSG00000110514, ENSG00000124126, ENSG00000162894, ENSG00000162604, ENSG00000131871, ENSG00000104365, ENSG00000011332, ENSG00000105327, ENSG00000089486, ENSG00000196588, ENSG00000142949, ENSG00000170312, ENSG00000089685, ENSG00000026508, ENSG00000142192, ENSG00000162736, ENSG00000181019, ENSG00000135341, ENSG00000091436, ENSG00000142856, ENSG00000127946, ENSG00000165392, ENSG00000141736, ENSG00000067560, ENSG00000075388, ENSG00000176884, ENSG00000141582, ENSG00000130762, ENSG00000162734, ENSG00000186891, ENSG00000134243, ENSG00000089041, ENSG00000175592, ENSG00000164111, ENSG00000079246, ENSG00000196535, ENSG00000132676, ENSG00000101126, ENSG00000104312, ENSG00000079805, ENSG00000115904, ENSG00000152422, ENSG00000126003, ENSG00000085231, ENSG00000136238, ENSG00000133112","980","804","12292","1.31044776119403","0.9999991562308921","0.753042419226443","12.36645254668608"
