GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000008323,Present,None,None,Present,None,None
ENSG00000008324,Present,Present,Present,Present,Present,Present
ENSG00000008382,Present,Present,Present,Present,Present,None
ENSG00000008394,Present,Present,Present,Present,Present,Present
ENSG00000008405,Present,Present,None,Present,Present,Present
ENSG00000008438,None,None,None,None,None,None
ENSG00000008441,Present,Present,Present,Present,Present,Present
ENSG00000008513,Present,Present,Present,Present,Present,Present
ENSG00000008516,Present,Present,Present,Present,Present,Present
ENSG00000008517,Present,Present,Present,Present,Present,Present
ENSG00000008710,Present,None,None,None,None,Present
ENSG00000008735,None,Present,None,Present,Present,Present
ENSG00000008838,None,None,None,None,None,None
ENSG00000008869,Present,Present,Present,Present,Present,Present
ENSG00000008952,Present,Present,Present,Present,Present,Present
ENSG00000008988,Present,Present,Present,Present,Present,Present
ENSG00000009307,None,Present,None,Present,None,None
ENSG00000009335,Present,Present,Present,Present,Present,Present
ENSG00000009694,Present,Present,Present,Present,Present,Present
ENSG00000009724,Present,Present,Present,Present,Present,Present
ENSG00000009780,None,None,None,None,None,None
ENSG00000009790,None,None,None,None,None,None
ENSG00000009830,None,Present,None,None,None,None
ENSG00000009844,Present,Present,Present,Present,Present,Present
ENSG00000009954,None,Present,Present,Present,Present,Present
ENSG00000010017,None,None,None,Present,Present,Present
ENSG00000010030,None,None,None,None,None,None
ENSG00000010072,None,None,None,None,None,None
ENSG00000010165,Present,Present,None,Present,Present,Present
ENSG00000010219,Present,Present,Present,Present,Present,Present
ENSG00000010244,Present,Present,Present,Present,Present,Present
ENSG00000010256,Present,Present,Present,Present,Present,Present
ENSG00000010270,Present,Present,Present,Present,Present,Present
ENSG00000010278,None,None,None,None,None,None
ENSG00000010282,None,None,None,None,None,None
ENSG00000010292,Present,Present,Present,Present,Present,Present
ENSG00000010310,Present,Present,None,Present,Present,Present
ENSG00000010318,None,Present,Present,Present,None,None
ENSG00000010319,Present,Present,Present,Present,Present,Present
ENSG00000010322,None,Present,None,Present,None,Present
ENSG00000010327,Present,Present,None,Present,Present,Present
ENSG00000010361,Present,Present,Present,Present,Present,Present
ENSG00000010379,None,Present,None,None,None,None
ENSG00000010539,Present,Present,Present,Present,Present,Present
ENSG00000010610,Present,Present,None,None,None,None
ENSG00000010626,Present,Present,None,Present,Present,Present
ENSG00000010671,None,Present,None,Present,None,None
ENSG00000010704,Present,Present,Present,Present,Present,Present
ENSG00000010803,Present,Present,Present,Present,Present,Present
ENSG00000010810,Present,Present,Present,None,None,None
ENSG00000010932,Present,Present,Present,Present,Present,Present
ENSG00000011007,None,Present,None,None,None,None
ENSG00000011021,None,None,None,None,None,None
ENSG00000011028,None,None,None,Present,Present,None
ENSG00000011052,Present,Present,Present,Present,Present,Present
ENSG00000011083,Present,Present,Present,Present,None,Present
ENSG00000011105,None,Present,Present,Present,Present,Present
ENSG00000011114,Present,Present,None,Present,Present,Present
ENSG00000011132,Present,None,None,Present,None,None
ENSG00000011143,Present,Present,None,None,Present,Present
ENSG00000011198,Present,Present,None,Present,Present,Present
ENSG00000011243,Present,Present,Present,Present,Present,Present
ENSG00000011258,Present,Present,Present,Present,Present,Present
ENSG00000011260,Present,Present,None,Present,Present,Present
ENSG00000011275,Present,Present,Present,Present,Present,None
ENSG00000011295,Present,Present,Present,Present,Present,Present
ENSG00000011304,None,Present,None,Present,Present,None
ENSG00000011332,Present,Present,Present,Present,Present,Present
ENSG00000011347,None,Present,None,None,None,None
ENSG00000011376,Present,None,None,Present,None,None
ENSG00000011405,Present,Present,Present,Present,Present,Present
ENSG00000011422,None,None,None,None,None,None
ENSG00000011426,Present,Present,Present,Present,Present,None
ENSG00000011451,Present,Present,Present,Present,Present,Present
ENSG00000011465,None,None,Present,None,None,None
ENSG00000011478,None,None,None,None,None,Present
ENSG00000011485,Present,Present,Present,Present,Present,Present
ENSG00000011523,Present,Present,Present,Present,Present,Present
ENSG00000011566,None,None,None,None,None,None
ENSG00000011590,None,None,None,None,None,None
ENSG00000011600,None,Present,None,None,None,None
ENSG00000011638,None,None,None,None,None,None
ENSG00000011677,Present,Present,Present,Present,Present,Present
ENSG00000012048,Present,Present,Present,Present,Present,Present
ENSG00000012061,Present,Present,Present,Present,Present,Present
ENSG00000012124,None,Present,None,None,None,None
ENSG00000012174,Present,Present,Present,Present,Present,Present
ENSG00000012211,None,None,None,None,None,None
ENSG00000012223,Present,Present,None,Present,Present,Present
ENSG00000012232,None,Present,None,Present,Present,Present
ENSG00000012504,Present,Present,Present,Present,Present,Present
ENSG00000012660,Present,Present,Present,Present,Present,Present
ENSG00000012779,Present,Present,Present,Present,Present,Present
ENSG00000012817,None,None,None,Present,None,None
ENSG00000012822,Present,Present,None,Present,Present,Present
ENSG00000012963,None,None,None,None,None,None
ENSG00000012983,None,None,None,None,None,None
ENSG00000013275,Present,Present,Present,Present,Present,Present
ENSG00000013288,None,None,None,None,None,None
ENSG00000013293,None,None,None,None,None,None
ENSG00000013297,Present,Present,Present,None,None,Present
ENSG00000013306,None,None,None,None,None,None
ENSG00000013364,Present,Present,Present,Present,Present,Present
ENSG00000013374,Present,Present,Present,Present,Present,Present
ENSG00000013375,Present,None,None,Present,None,Present
ENSG00000013392,Present,Present,Present,Present,Present,Present
ENSG00000013441,Present,Present,Present,Present,Present,Present
ENSG00000013503,Present,Present,Present,Present,Present,Present
ENSG00000013523,None,None,None,None,None,None
ENSG00000013561,Present,Present,Present,Present,Present,Present
ENSG00000013588,Present,Present,Present,Present,Present,Present
ENSG00000013619,None,Present,None,None,None,None
ENSG00000013725,None,None,None,None,None,None
ENSG00000013810,Present,Present,None,None,None,None
ENSG00000014123,Present,Present,Present,Present,Present,Present
ENSG00000014138,None,Present,None,None,Present,None
ENSG00000014164,Present,Present,Present,Present,Present,Present
ENSG00000014216,Present,Present,Present,Present,Present,Present
ENSG00000014257,None,None,None,None,None,None
ENSG00000014641,Present,Present,Present,Present,Present,Present
ENSG00000014824,Present,Present,Present,Present,Present,Present
ENSG00000014914,None,Present,None,None,Present,None
ENSG00000014919,Present,Present,Present,Present,Present,Present
ENSG00000015133,Present,Present,Present,Present,Present,Present
ENSG00000015153,None,Present,None,Present,Present,Present
ENSG00000015171,Present,Present,Present,Present,None,Present
ENSG00000015285,Present,Present,Present,Present,Present,Present
ENSG00000015413,None,None,None,None,None,None
ENSG00000015475,Present,Present,Present,Present,Present,Present
ENSG00000015479,Present,Present,None,Present,Present,Present
ENSG00000015520,Present,Present,Present,Present,Present,Present
ENSG00000015532,Present,Present,None,None,None,None
ENSG00000015568,None,Present,Present,Present,None,Present
ENSG00000015592,None,Present,None,Present,None,None
ENSG00000015676,Present,Present,None,None,Present,Present
ENSG00000016391,Present,Present,None,None,Present,Present
ENSG00000016402,Present,Present,Present,Present,Present,Present
ENSG00000016490,None,None,None,None,None,None
ENSG00000016602,None,Present,None,None,Present,None
ENSG00000016864,Present,Present,Present,Present,Present,Present
ENSG00000017260,Present,Present,Present,Present,Present,Present
ENSG00000017373,Present,Present,Present,Present,Present,Present
ENSG00000017427,None,None,None,None,None,None
ENSG00000017483,None,Present,None,Present,Present,Present
ENSG00000017621,Present,Present,Present,Present,Present,Present
ENSG00000018189,Present,Present,Present,Present,Present,Present
ENSG00000018236,None,None,None,None,None,None
ENSG00000018280,Present,Present,None,None,None,None
ENSG00000018408,Present,Present,Present,Present,Present,Present
ENSG00000018510,Present,Present,Present,Present,None,Present
ENSG00000018610,Present,Present,Present,Present,Present,None
ENSG00000018625,None,None,None,None,None,None
ENSG00000018699,Present,Present,Present,Present,Present,Present
ENSG00000018869,Present,Present,None,Present,None,Present
ENSG00000019102,None,Present,None,Present,None,Present
ENSG00000019144,Present,Present,Present,Present,Present,Present
ENSG00000019169,None,None,None,None,Present,None
ENSG00000019186,Present,Present,Present,Present,None,Present
ENSG00000019505,Present,Present,Present,Present,Present,Present
ENSG00000019549,Present,Present,Present,Present,Present,Present
ENSG00000019582,Present,Present,Present,Present,Present,Present
ENSG00000019991,Present,Present,Present,Present,Present,Present
ENSG00000019995,Present,Present,Present,Present,Present,Present
ENSG00000020129,None,None,None,None,None,None
ENSG00000020181,Present,Present,Present,Present,Present,Present
ENSG00000020256,None,None,None,Present,None,None
ENSG00000020426,None,None,None,None,None,None
ENSG00000020577,Present,Present,Present,Present,Present,Present
ENSG00000020633,Present,Present,Present,Present,Present,Present
ENSG00000020922,Present,Present,Present,Present,Present,Present
ENSG00000021355,None,Present,None,None,None,None
ENSG00000021488,None,None,None,None,None,None
ENSG00000021574,Present,Present,None,Present,Present,Present
ENSG00000021645,Present,Present,Present,Present,Present,Present
ENSG00000021762,None,Present,None,None,Present,Present
ENSG00000021826,Present,Present,Present,Present,Present,Present
ENSG00000021852,None,Present,None,Present,Present,Present
ENSG00000022267,Present,Present,None,None,None,None
ENSG00000022277,None,None,None,None,None,None
ENSG00000022355,None,None,None,None,None,None
ENSG00000022556,Present,Present,Present,Present,Present,Present
ENSG00000022567,None,None,None,None,None,None
ENSG00000022840,Present,None,None,None,None,None
ENSG00000022976,Present,Present,Present,Present,Present,Present
ENSG00000023041,None,None,None,None,None,None
ENSG00000023171,Present,Present,Present,Present,Present,Present
ENSG00000023191,None,None,None,None,None,None
ENSG00000023287,None,None,None,Present,None,Present
ENSG00000023318,Present,Present,Present,Present,Present,Present
ENSG00000023330,Present,Present,Present,Present,Present,Present
ENSG00000023445,Present,Present,Present,Present,Present,Present
ENSG00000023516,Present,Present,Present,Present,Present,Present
ENSG00000023572,Present,None,None,None,Present,None
ENSG00000023608,Present,Present,Present,Present,Present,Present
ENSG00000023734,Present,Present,Present,Present,Present,Present
ENSG00000023839,Present,Present,Present,Present,None,Present
ENSG00000023892,Present,None,None,Present,None,Present
ENSG00000023909,Present,Present,Present,Present,Present,Present
ENSG00000024048,Present,Present,Present,Present,Present,Present
ENSG00000024422,None,None,None,None,None,None
ENSG00000024526,None,None,None,None,None,None
ENSG00000024862,None,None,None,None,None,Present
ENSG00000025156,None,None,None,Present,None,None
ENSG00000025293,Present,Present,Present,Present,Present,Present
ENSG00000025434,Present,Present,None,None,Present,None
ENSG00000025708,Present,Present,Present,Present,Present,Present
ENSG00000025772,Present,Present,None,None,Present,None
ENSG00000025800,None,Present,None,None,None,None
ENSG00000026025,None,None,None,None,Present,None
ENSG00000026036,Present,Present,Present,None,Present,Present
ENSG00000026103,None,None,None,None,Present,None
ENSG00000026297,None,None,None,Present,None,None
ENSG00000026508,None,Present,None,None,None,None
ENSG00000026559,Present,Present,Present,Present,Present,Present
ENSG00000026652,None,None,None,Present,None,None
ENSG00000026751,None,None,None,None,None,None
ENSG00000026950,Present,Present,Present,Present,Present,Present
ENSG00000027001,Present,Present,Present,Present,Present,Present
ENSG00000027075,None,None,None,Present,None,None
ENSG00000027644,None,Present,Present,Present,Present,None
ENSG00000027697,Present,Present,None,Present,Present,Present
ENSG00000027847,Present,Present,Present,Present,Present,Present
ENSG00000027869,Present,Present,Present,Present,Present,Present
ENSG00000028116,None,Present,None,Present,Present,Present
ENSG00000028137,Present,Present,None,None,Present,Present
ENSG00000028203,Present,Present,Present,Present,Present,Present
ENSG00000028277,None,None,None,None,None,None
ENSG00000028310,Present,None,Present,None,Present,None
ENSG00000028528,Present,None,None,None,None,None
ENSG00000028839,Present,Present,Present,Present,Present,Present
ENSG00000029363,Present,Present,Present,Present,Present,Present
ENSG00000029364,Present,Present,Present,Present,Present,Present
ENSG00000029534,None,None,None,None,None,None
ENSG00000029639,None,Present,None,Present,None,Present
ENSG00000029725,Present,Present,Present,Present,Present,None
ENSG00000030110,None,None,None,None,None,None
ENSG00000030419,Present,Present,Present,Present,Present,Present
ENSG00000030582,Present,Present,None,Present,Present,Present
ENSG00000031003,None,None,None,None,None,None
ENSG00000031081,Present,Present,None,Present,None,None
ENSG00000031698,None,Present,None,Present,Present,Present
ENSG00000031823,Present,Present,Present,Present,Present,Present
ENSG00000032219,Present,Present,Present,None,Present,Present
ENSG00000032389,Present,Present,Present,Present,Present,Present
ENSG00000032444,Present,None,Present,Present,Present,Present
ENSG00000032742,None,None,None,Present,Present,Present
ENSG00000033030,Present,Present,None,Present,Present,Present
ENSG00000033050,Present,Present,None,Present,Present,Present
ENSG00000033100,Present,Present,None,Present,Present,None
ENSG00000033122,Present,Present,None,Present,Present,Present
ENSG00000033170,Present,Present,Present,Present,Present,Present
ENSG00000033178,None,None,None,None,None,None
ENSG00000033327,Present,Present,Present,Present,Present,Present
ENSG00000033627,Present,Present,None,Present,Present,Present
ENSG00000033800,Present,Present,Present,Present,Present,Present
ENSG00000033867,None,None,None,None,None,None
ENSG00000034053,Present,Present,Present,Present,Present,Present
ENSG00000034063,Present,Present,Present,Present,Present,Present
ENSG00000034152,Present,Present,None,Present,Present,Present
ENSG00000034239,Present,Present,Present,Present,Present,Present
ENSG00000034533,Present,Present,Present,Present,Present,Present
ENSG00000034677,Present,Present,Present,Present,Present,Present
ENSG00000034693,Present,Present,Present,Present,Present,Present
ENSG00000034713,Present,None,None,Present,None,Present
ENSG00000034971,None,None,None,None,None,None
ENSG00000035115,Present,None,None,None,Present,None
ENSG00000035141,Present,Present,Present,Present,Present,Present
ENSG00000035403,Present,Present,Present,Present,Present,Present
ENSG00000035499,Present,Present,Present,Present,Present,None
ENSG00000035664,Present,Present,None,Present,Present,Present
ENSG00000035681,Present,Present,Present,Present,Present,Present
ENSG00000035687,None,None,None,Present,None,None
ENSG00000035720,None,None,None,None,None,None
ENSG00000035862,Present,None,Present,Present,Present,Present
ENSG00000035928,None,Present,None,Present,None,None
ENSG00000036054,Present,Present,Present,Present,Present,Present
ENSG00000036257,None,None,Present,Present,Present,None
ENSG00000036448,Present,Present,Present,Present,Present,Present
ENSG00000036473,Present,Present,Present,Present,Present,Present
ENSG00000036530,Present,Present,Present,Present,Present,Present
ENSG00000036565,None,Present,None,None,None,None
ENSG00000036672,None,Present,Present,Present,Present,Present
ENSG00000036828,None,None,None,None,None,None
ENSG00000037042,Present,Present,Present,Present,Present,None
ENSG00000037241,Present,Present,Present,Present,Present,Present
ENSG00000037280,None,None,None,None,None,None
ENSG00000037474,Present,Present,Present,Present,Present,Present
ENSG00000037637,Present,Present,None,Present,Present,Present
ENSG00000037749,Present,Present,Present,Present,Present,None
ENSG00000037757,None,None,None,Present,Present,None
ENSG00000037897,None,Present,None,None,None,None
ENSG00000037965,Present,Present,Present,Present,Present,Present
ENSG00000038002,Present,Present,Present,Present,Present,Present
ENSG00000038210,None,Present,None,None,None,None
ENSG00000038219,None,None,Present,Present,Present,None
ENSG00000038274,Present,Present,None,Present,Present,Present
ENSG00000038358,None,Present,None,Present,Present,None
ENSG00000038382,None,Present,Present,None,None,None
ENSG00000038427,Present,Present,Present,Present,Present,Present
ENSG00000038532,Present,Present,Present,Present,Present,Present
ENSG00000038945,None,None,None,None,None,None
ENSG00000039068,Present,Present,Present,Present,Present,Present
ENSG00000039123,Present,Present,Present,Present,Present,Present
ENSG00000039139,None,None,None,None,Present,None
ENSG00000039319,Present,Present,Present,Present,Present,Present
ENSG00000039523,None,Present,None,None,None,None
ENSG00000039537,Present,Present,Present,Present,Present,Present
ENSG00000039560,None,None,None,None,Present,None
ENSG00000039600,None,Present,Present,Present,Present,Present
ENSG00000039650,Present,Present,Present,Present,Present,Present
ENSG00000039987,None,None,None,None,None,None
ENSG00000040199,None,None,None,None,None,None
ENSG00000040275,Present,Present,Present,None,Present,Present
ENSG00000040341,None,Present,Present,Present,Present,Present
ENSG00000040608,None,Present,Present,Present,Present,Present
ENSG00000040633,Present,Present,Present,Present,Present,Present
ENSG00000040731,None,None,None,None,None,None
ENSG00000040933,Present,Present,None,Present,Present,Present
ENSG00000041353,None,Present,None,Present,None,None
ENSG00000041357,Present,Present,Present,Present,Present,Present
ENSG00000041515,Present,Present,None,Present,None,None
ENSG00000041802,Present,None,Present,Present,Present,Present
ENSG00000041982,None,Present,None,None,None,None
ENSG00000041988,None,None,None,None,None,None
ENSG00000042062,Present,Present,Present,None,Present,None
ENSG00000042286,None,None,None,Present,None,None
ENSG00000042304,None,None,None,None,None,None
ENSG00000042317,Present,Present,None,Present,Present,Present
ENSG00000042445,None,Present,Present,None,None,None
ENSG00000042493,Present,None,Present,Present,Present,Present
ENSG00000042832,None,None,None,None,None,None
ENSG00000043039,None,None,None,None,None,None
ENSG00000043093,None,Present,Present,Present,None,Present
ENSG00000043143,None,Present,None,None,None,None
ENSG00000043355,Present,Present,None,Present,None,Present
ENSG00000043462,None,None,None,Present,None,None
ENSG00000043514,Present,Present,None,None,None,None
ENSG00000044090,Present,Present,Present,Present,Present,Present
ENSG00000044115,Present,Present,Present,Present,Present,Present
ENSG00000044446,None,None,None,None,None,Present
ENSG00000044459,Present,Present,Present,Present,Present,Present
ENSG00000044524,Present,Present,None,Present,Present,Present
ENSG00000044574,Present,Present,Present,Present,Present,Present
ENSG00000046604,Present,Present,None,Present,None,Present
ENSG00000046647,Present,Present,Present,Present,Present,Present
ENSG00000046651,Present,Present,Present,Present,Present,Present
ENSG00000046653,None,None,None,None,None,None
ENSG00000046774,Present,Present,Present,Present,Present,Present
ENSG00000046889,None,Present,Present,Present,Present,Present
ENSG00000047056,Present,Present,Present,Present,Present,Present
ENSG00000047188,Present,Present,Present,Present,None,Present
ENSG00000047230,None,Present,None,None,None,None
ENSG00000047249,Present,Present,Present,Present,None,None
ENSG00000047315,Present,Present,Present,Present,Present,None
ENSG00000047346,Present,Present,Present,Present,Present,Present
ENSG00000047365,None,None,None,None,None,None
ENSG00000047410,Present,Present,Present,Present,Present,Present
ENSG00000047457,Present,Present,None,None,Present,Present
ENSG00000047578,Present,Present,Present,Present,Present,Present
ENSG00000047579,None,Present,Present,Present,Present,Present
ENSG00000047597,Present,Present,Present,Present,Present,Present
ENSG00000047617,Present,Present,Present,Present,Present,Present
ENSG00000047621,None,Present,Present,Present,Present,Present
ENSG00000047634,None,None,None,None,None,None
ENSG00000047644,Present,Present,Present,Present,Present,Present
ENSG00000047648,Present,Present,None,Present,Present,Present
ENSG00000047662,None,None,None,None,None,None
ENSG00000047849,Present,Present,None,Present,Present,Present
ENSG00000047932,Present,Present,Present,Present,Present,Present
