GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000000003,Present,Present,Present,Present,Present,Present
ENSG00000000005,None,None,None,None,None,None
ENSG00000000419,Present,Present,Present,Present,Present,Present
ENSG00000000457,None,None,None,None,None,None
ENSG00000000460,Present,Present,None,Present,Present,Present
ENSG00000000938,Present,Present,Present,Present,Present,Present
ENSG00000000971,Present,Present,Present,None,Present,Present
ENSG00000001036,Present,Present,Present,Present,Present,Present
ENSG00000001084,Present,Present,Present,Present,Present,Present
ENSG00000001167,None,Present,None,Present,Present,Present
ENSG00000001460,None,Present,Present,None,Present,None
ENSG00000001461,None,Present,Present,Present,Present,Present
ENSG00000001497,None,None,None,None,None,None
ENSG00000001561,Present,Present,None,Present,Present,Present
ENSG00000001617,None,Present,Present,Present,None,None
ENSG00000001626,None,Present,None,Present,None,Present
ENSG00000001629,None,None,None,None,None,None
ENSG00000001630,None,None,None,None,None,None
ENSG00000001631,None,None,None,None,None,None
ENSG00000002330,Present,Present,Present,Present,Present,Present
ENSG00000002549,Present,Present,Present,Present,Present,Present
ENSG00000002586,None,None,None,None,Present,None
ENSG00000002587,None,Present,None,None,None,None
ENSG00000002726,Present,Present,None,Present,Present,Present
ENSG00000002745,None,Present,None,Present,Present,None
ENSG00000002746,Present,Present,Present,Present,Present,Present
ENSG00000002822,None,Present,None,Present,Present,None
ENSG00000002834,None,Present,Present,None,None,None
ENSG00000002919,Present,Present,Present,Present,Present,Present
ENSG00000002933,Present,Present,Present,Present,Present,Present
ENSG00000003056,Present,Present,Present,Present,Present,Present
ENSG00000003096,Present,Present,None,Present,Present,Present
ENSG00000003137,Present,Present,Present,Present,Present,Present
ENSG00000003147,None,None,None,Present,None,None
ENSG00000003249,Present,Present,Present,Present,Present,Present
ENSG00000003393,None,None,None,Present,Present,None
ENSG00000003400,Present,Present,Present,Present,Present,Present
ENSG00000003402,Present,Present,Present,None,Present,Present
ENSG00000003436,Present,Present,Present,Present,None,Present
ENSG00000003509,Present,Present,Present,Present,Present,None
ENSG00000003756,Present,Present,Present,Present,Present,Present
ENSG00000003987,None,None,None,None,None,None
ENSG00000003989,Present,Present,Present,Present,Present,Present
ENSG00000004139,None,Present,Present,Present,None,Present
ENSG00000004399,Present,Present,Present,Present,Present,Present
ENSG00000004455,Present,Present,Present,Present,Present,Present
ENSG00000004468,None,None,None,None,None,None
ENSG00000004478,None,Present,None,Present,None,Present
ENSG00000004487,None,Present,None,Present,Present,Present
ENSG00000004534,Present,Present,None,Present,Present,Present
ENSG00000004660,Present,Present,Present,Present,None,None
ENSG00000004700,Present,None,Present,Present,None,None
ENSG00000004766,None,Present,None,Present,Present,Present
ENSG00000004776,None,None,None,None,None,None
ENSG00000004777,Present,Present,Present,Present,Present,Present
ENSG00000004809,Present,Present,Present,Present,Present,Present
ENSG00000004838,Present,Present,Present,Present,Present,Present
ENSG00000004846,Present,Present,Present,Present,Present,Present
ENSG00000004864,Present,Present,Present,Present,Present,Present
ENSG00000004866,Present,Present,Present,Present,Present,Present
ENSG00000004897,None,Present,Present,Present,Present,None
ENSG00000004939,None,None,None,None,None,None
ENSG00000004948,None,None,None,None,None,None
ENSG00000004961,Present,Present,Present,Present,Present,Present
ENSG00000004975,Present,Present,Present,Present,Present,Present
ENSG00000005001,None,None,None,None,None,None
ENSG00000005007,None,Present,Present,None,Present,None
ENSG00000005020,None,None,None,None,None,None
ENSG00000005059,None,None,None,None,None,None
ENSG00000005073,None,Present,None,None,None,None
ENSG00000005075,Present,Present,Present,None,None,Present
ENSG00000005102,Present,Present,None,Present,Present,Present
ENSG00000005108,None,None,None,None,None,None
ENSG00000005156,None,None,None,None,None,None
ENSG00000005175,Present,Present,Present,Present,Present,Present
ENSG00000005187,None,None,None,None,None,None
ENSG00000005189,Present,Present,None,None,Present,Present
ENSG00000005194,None,None,None,None,None,None
ENSG00000005206,Present,Present,Present,Present,Present,Present
ENSG00000005238,Present,Present,Present,Present,Present,Present
ENSG00000005249,None,Present,None,Present,None,None
ENSG00000005302,None,None,None,None,None,None
ENSG00000005339,None,Present,None,None,None,None
ENSG00000005379,Present,Present,Present,Present,Present,Present
ENSG00000005381,None,None,None,None,None,None
ENSG00000005421,Present,Present,Present,Present,Present,Present
ENSG00000005436,Present,Present,Present,Present,Present,Present
ENSG00000005448,Present,Present,Present,Present,Present,Present
ENSG00000005469,Present,Present,Present,Present,Present,Present
ENSG00000005471,Present,Present,Present,Present,Present,Present
ENSG00000005486,None,None,None,None,None,None
ENSG00000005513,None,Present,Present,Present,None,Present
ENSG00000005700,Present,Present,Present,Present,Present,Present
ENSG00000005801,Present,Present,Present,Present,Present,Present
ENSG00000005810,None,None,None,None,None,None
ENSG00000005844,None,None,None,None,None,None
ENSG00000005882,None,Present,None,Present,Present,Present
ENSG00000005884,None,Present,None,None,None,Present
ENSG00000005889,Present,Present,Present,Present,Present,Present
ENSG00000005893,Present,Present,Present,Present,Present,Present
ENSG00000005955,None,None,None,None,None,None
ENSG00000005961,None,None,None,None,None,None
ENSG00000005981,None,None,None,None,None,None
ENSG00000006015,Present,Present,Present,Present,Present,Present
ENSG00000006016,Present,Present,Present,Present,Present,Present
ENSG00000006025,None,None,None,None,None,None
ENSG00000006042,Present,Present,Present,Present,Present,Present
ENSG00000006047,None,None,None,None,None,None
ENSG00000006062,Present,Present,Present,Present,Present,Present
ENSG00000006071,Present,Present,Present,Present,Present,Present
ENSG00000006114,Present,Present,Present,Present,Present,Present
ENSG00000006118,Present,None,Present,Present,None,None
ENSG00000006125,None,Present,Present,Present,Present,Present
ENSG00000006128,Present,Present,Present,Present,Present,Present
ENSG00000006194,Present,Present,Present,Present,Present,Present
ENSG00000006210,Present,Present,Present,Present,Present,Present
ENSG00000006282,Present,Present,Present,Present,Present,Present
ENSG00000006283,Present,Present,None,Present,Present,Present
ENSG00000006327,None,Present,None,None,Present,None
ENSG00000006377,Present,Present,Present,Present,Present,Present
ENSG00000006432,Present,Present,Present,Present,Present,Present
ENSG00000006453,Present,Present,Present,Present,Present,Present
ENSG00000006459,Present,Present,None,None,Present,None
ENSG00000006530,Present,Present,None,None,Present,None
ENSG00000006555,Present,Present,None,None,Present,Present
ENSG00000006576,Present,None,None,Present,Present,None
ENSG00000006607,Present,Present,Present,Present,Present,Present
ENSG00000006611,Present,Present,Present,Present,Present,Present
ENSG00000006625,Present,Present,Present,Present,Present,Present
ENSG00000006634,None,None,None,None,None,None
ENSG00000006652,Present,Present,None,Present,Present,Present
ENSG00000006695,Present,Present,Present,Present,Present,Present
ENSG00000006704,Present,Present,Present,Present,Present,Present
ENSG00000006712,None,None,None,Present,None,None
ENSG00000006715,Present,Present,Present,Present,Present,Present
ENSG00000006740,None,None,None,Present,None,Present
ENSG00000006744,Present,Present,Present,Present,Present,Present
ENSG00000006747,None,None,None,Present,None,Present
ENSG00000006756,Present,Present,Present,Present,Present,Present
ENSG00000006757,Present,Present,Present,Present,Present,Present
ENSG00000006788,None,None,None,None,None,None
ENSG00000006831,None,None,None,None,None,Present
ENSG00000006837,Present,Present,Present,Present,Present,Present
ENSG00000007001,Present,None,Present,Present,Present,None
ENSG00000007038,None,None,None,None,None,None
ENSG00000007047,None,Present,Present,Present,Present,None
ENSG00000007062,Present,Present,Present,Present,Present,Present
ENSG00000007080,Present,Present,Present,Present,Present,Present
ENSG00000007129,Present,Present,Present,Present,Present,Present
ENSG00000007168,Present,Present,None,Present,None,None
ENSG00000007171,Present,Present,Present,Present,Present,Present
ENSG00000007174,None,Present,None,None,None,None
ENSG00000007202,None,Present,None,Present,None,Present
ENSG00000007216,Present,Present,Present,Present,Present,Present
ENSG00000007237,None,None,None,None,None,None
ENSG00000007255,Present,Present,Present,Present,Present,Present
ENSG00000007264,Present,Present,Present,Present,Present,Present
ENSG00000007312,None,None,None,None,Present,None
ENSG00000007314,Present,Present,Present,Present,Present,Present
ENSG00000007341,Present,Present,None,None,Present,Present
ENSG00000007350,None,None,None,None,None,None
ENSG00000007372,None,Present,None,None,None,None
ENSG00000007376,Present,Present,Present,Present,Present,Present
ENSG00000007392,None,None,None,None,None,None
ENSG00000007402,Present,Present,Present,Present,Present,Present
ENSG00000007516,Present,Present,None,Present,Present,Present
ENSG00000007520,Present,Present,Present,Present,Present,Present
ENSG00000007541,None,Present,None,Present,Present,None
ENSG00000007545,Present,Present,None,None,Present,None
ENSG00000007866,None,Present,Present,Present,Present,Present
ENSG00000007908,None,Present,None,None,None,None
ENSG00000007923,Present,None,None,None,None,None
ENSG00000007933,Present,Present,Present,Present,Present,Present
ENSG00000007952,Present,Present,Present,Present,Present,Present
ENSG00000007968,Present,None,None,None,None,None
ENSG00000008018,Present,Present,Present,Present,Present,Present
ENSG00000008056,None,None,None,Present,Present,Present
ENSG00000008083,Present,None,None,Present,Present,None
ENSG00000008086,Present,Present,Present,Present,Present,Present
ENSG00000008118,Present,Present,Present,Present,Present,Present
ENSG00000008128,Present,Present,Present,Present,Present,Present
ENSG00000008130,None,Present,Present,Present,None,Present
ENSG00000008196,Present,Present,Present,None,None,None
ENSG00000008197,Present,Present,None,None,Present,Present
ENSG00000008226,Present,Present,None,Present,Present,None
ENSG00000008256,None,Present,None,None,Present,None
ENSG00000008277,Present,Present,Present,Present,Present,Present
ENSG00000008282,Present,Present,Present,Present,Present,Present
ENSG00000008283,None,None,None,None,None,None
ENSG00000008294,Present,Present,None,Present,Present,Present
ENSG00000008311,Present,Present,Present,Present,Present,Present
