"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"1193535","ENSG00000204131","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1193614","ENSG00000204138","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1193694","ENSG00000204147","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1193775","ENSG00000204149","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1193853","ENSG00000204152","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1193934","ENSG00000204160","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1194015","ENSG00000204161","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1194097","ENSG00000204165","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected",NA,NA
"1194174","ENSG00000204169","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1194253","ENSG00000204172","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1194331","ENSG00000204174","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1194409","ENSG00000204175","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1194486","ENSG00000204176","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1194566","ENSG00000204178","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1194648","ENSG00000204179","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1194728","ENSG00000204183","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1194804","ENSG00000204186","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1194884","ENSG00000204188","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1194963","ENSG00000204193","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1195042","ENSG00000204209","liver","hepatocytes","Present","APE","Supportive","Not detected","Not detected",NA,NA
"1195124","ENSG00000204217","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1195205","ENSG00000204219","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1195282","ENSG00000204220","liver","hepatocytes","Not detected","APE","Supportive","Present","Present",NA,NA
"1195362","ENSG00000204227","liver","hepatocytes","Not detected","APE","Supportive","Present",NA,NA,NA
"1195442","ENSG00000204228","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"1195522","ENSG00000204231","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"1195598","ENSG00000204237","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1195678","ENSG00000204246","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1195757","ENSG00000204252","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1195837","ENSG00000204256","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected",NA
"1195913","ENSG00000204257","liver","hepatocytes","Not detected","APE","Supportive","Present",NA,NA,NA
"1195991","ENSG00000204264","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"1196066","ENSG00000204267","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1196142","ENSG00000204271","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1196220","ENSG00000204278","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1196301","ENSG00000204279","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1196382","ENSG00000204287","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected",NA
"1196465","ENSG00000204290","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1196545","ENSG00000204291","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected",NA,NA
"1196624","ENSG00000204300","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1196705","ENSG00000204304","liver","hepatocytes","Not detected","APE","Supportive","Not detected",NA,NA,NA
"1196786","ENSG00000204305","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1196865","ENSG00000204308","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1196945","ENSG00000204311","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1197026","ENSG00000204314","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1197105","ENSG00000204315","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected",NA,NA
"1197186","ENSG00000204316","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1197267","ENSG00000204334","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1197349","ENSG00000204344","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1197430","ENSG00000204345","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1197507","ENSG00000204347","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1197586","ENSG00000204348","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1197664","ENSG00000204351","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1197745","ENSG00000204356","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1197822","ENSG00000204361","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1197900","ENSG00000204365","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1197977","ENSG00000204366","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1198056","ENSG00000204370","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1198136","ENSG00000204371","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected",NA
"1198214","ENSG00000204375","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1198293","ENSG00000204376","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1198372","ENSG00000204379","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1198452","ENSG00000204381","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1198532","ENSG00000204382","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1198612","ENSG00000204385","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1198692","ENSG00000204386","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1198773","ENSG00000204388","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1198852","ENSG00000204389","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"1198933","ENSG00000204390","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1199016","ENSG00000204392","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1199094","ENSG00000204393","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1199175","ENSG00000204394","liver","hepatocytes","Not detected","APE","Supportive","Present","Present","Present","Present"
"1199253","ENSG00000204396","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1199334","ENSG00000204397","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1199414","ENSG00000204403","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1199494","ENSG00000204406","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1199575","ENSG00000204414","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1199655","ENSG00000204421","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1199730","ENSG00000204424","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1199803","ENSG00000204427","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1199884","ENSG00000204428","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1199965","ENSG00000204435","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"1200046","ENSG00000204438","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1200125","ENSG00000204439","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1200203","ENSG00000204442","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected",NA,NA
"1200283","ENSG00000204444","liver","hepatocytes","Present","APE","Supportive","Not detected","Not detected","Not detected",NA
"1200364","ENSG00000204446","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1200445","ENSG00000204449","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1200525","ENSG00000204463","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"1200603","ENSG00000204464","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1200682","ENSG00000204469","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1200762","ENSG00000204472","liver","hepatocytes","Present","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1200839","ENSG00000204480","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1200917","ENSG00000204482","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1200995","ENSG00000204491","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1201074","ENSG00000204498","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected",NA,NA
"1201148","ENSG00000204503","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1201226","ENSG00000204508","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1201305","ENSG00000204510","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected",NA,NA
"1201383","ENSG00000204511","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1201463","ENSG00000204514","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1201542","ENSG00000204518","liver","hepatocytes","Not detected","APE","Uncertain","Present","Present",NA,NA
