"","go_id","Term","Definition","p.values","Genes"
"16877","GO:0007018","microtubule-based movement","A microtubule-based process that is mediated by motor proteins and results in the movement of organelles, other microtubules, or other particles along microtubules.",4.19444180774568e-08,"c(""10013"", ""10096"", ""10097"", ""10112"", ""10128"", ""10239"", ""10300"", ""1062"", ""10749"", ""10947"", ""11004"", ""11020"", ""11127"", ""112752"", ""113220"", ""115948"", ""117178"", ""1176"", ""122481"", ""123872"", ""124602"", ""124997"", ""126731"", ""127602"", ""144132"", ""146909"", ""147700"", ""150737"", ""161582"", ""166379"", ""167691"", ""1767"", ""1768"", ""1769"", ""1770"", ""1778"", ""1780"", ""1781"", ""1952"", ""196385"", ""199223"", ""200162"", ""200373"", ""201625"", ""221421"", ""221458"", ""22820"", ""22858"", ""22920"", ""22994"", ""23011"", ""23046"", ""23095"", ""23160"", 
""23299"", ""23303"", ""23557"", ""23639"", ""24137"", ""25809"", ""25911"", ""25981"", ""26146"", ""26153"", ""26256"", ""26258"", ""2647"", ""27019"", ""27031"", ""27148"", ""282991"", ""284076"", ""285643"", ""28981"", ""29105"", ""29127"", ""29922"", ""3064"", ""3091"", ""320"", ""345895"", ""347240"", ""3476"", ""351"", ""374654"", ""3796"", ""3798"", ""3799"", ""3800"", ""3801"", ""3831"", ""3832"", ""3833"", ""3834"", ""3835"", ""3837"", ""388389"", ""3895"", ""3916"", ""403"", ""4131"", ""4134"", ""4137"", ""4744"", ""4976"", ""5048"", ""5108"", ""51143"", ""5195"", ""53340"", ""547"", ""54768"", ""54820"", 
""54919"", ""54986"", ""55036"", ""55081"", ""55130"", ""55201"", ""55288"", ""55330"", ""55567"", ""55582"", ""55605"", ""55614"", ""55764"", ""55811"", ""5590"", ""5604"", ""56171"", ""56776"", ""56912"", ""56992"", ""57519"", ""57539"", ""57576"", ""57584"", ""57728"", ""583"", ""585"", ""5861"", ""5870"", ""5991"", ""6103"", ""636"", ""63915"", ""63971"", ""64147"", ""64446"", ""64837"", ""6647"", ""6845"", ""7314"", ""7345"", ""79443"", ""79582"", ""79659"", ""79809"", ""79989"", ""80173"", ""8120"", ""81565"", ""81930"", ""8195"", ""83657"", ""83658"", ""8382"", ""83853"", ""84062"", ""8409"", ""84643"", 
""8481"", ""8546"", ""8632"", ""8701"", ""89941"", ""9001"", ""90990"", ""92104"", ""93233"", ""9371"", ""9493"", ""9585"", ""9742"", ""9787"", ""9928"", ""998"")"
"32499","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein.",0.00811208839372345,"c(""10121"", ""10427"", ""10437"", ""10540"", ""1062"", ""10671"", ""10802"", ""11004"", ""11127"", ""11258"", ""114876"", ""1173"", ""1174"", ""1211"", ""1213"", ""1509"", ""1510"", ""1514"", ""1515"", ""1520"", ""160"", ""161"", ""163"", ""1639"", ""164"", ""1778"", ""1780"", ""1781"", ""1785"", ""2207"", ""22872"", ""22920"", ""24137"", ""26153"", ""285643"", ""29127"", ""3108"", ""3109"", ""3111"", ""3112"", ""3113"", ""3115"", ""3117"", ""3118"", ""3119"", ""3122"", ""3127"", ""375"", ""3796"", ""3798"", ""3831"", ""3832"", ""3835"", ""51128"", ""51164"", ""51626"", ""5641"", ""56992"", ""6396"", ""6456"", ""64837"", 
""6712"", ""7189"", ""7879"", ""79659"", ""81622"", ""81930"", ""821"", ""83547"", ""84516"", ""84643"", ""8722"", ""8905"", ""8907"", ""9371"", ""9493"", ""9632"", ""972"", ""9871"")"
