"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"773245","ENSG00000163625","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"773955","ENSG00000163636","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"775624","ENSG00000163703","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"780257","ENSG00000163913","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"781757","ENSG00000163982","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"784462","ENSG00000164078","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"787567","ENSG00000164176","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"788849","ENSG00000164251","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"789878","ENSG00000164296","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"795105","ENSG00000164619","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"798781","ENSG00000164823","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"799419","ENSG00000164880","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"799579","ENSG00000164889","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"806225","ENSG00000165259","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"807572","ENSG00000165338","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"807730","ENSG00000165355","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"808752","ENSG00000165424","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"814263","ENSG00000165731","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"816332","ENSG00000165861","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"816570","ENSG00000165879","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"831398","ENSG00000166748","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"831558","ENSG00000166762","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"831863","ENSG00000166793","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"836918","ENSG00000167014","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"838645","ENSG00000167118","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"839594","ENSG00000167193","liver","bile duct cells","High","APE","Supportive","Low","Low","Low","Low"
"843797","ENSG00000167522","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"851996","ENSG00000167904","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"853586","ENSG00000167987","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"854615","ENSG00000168028","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"857698","ENSG00000168260","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"858566","ENSG00000168286","liver","bile duct cells","High","APE","Supportive","Low","Low","Low","Low"
"859197","ENSG00000168306","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"860239","ENSG00000168393","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"861519","ENSG00000168481","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"862310","ENSG00000168522","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"864057","ENSG00000168653","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"864929","ENSG00000168724","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"866188","ENSG00000168802","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"867747","ENSG00000168904","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"871557","ENSG00000169154","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"873363","ENSG00000169241","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"877148","ENSG00000169507","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"878816","ENSG00000169618","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"880571","ENSG00000169744","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"884456","ENSG00000169972","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"887156","ENSG00000170215","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"888507","ENSG00000170291","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"888821","ENSG00000170312","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"889465","ENSG00000170348","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"892100","ENSG00000170477","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"897343","ENSG00000170854","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"897812","ENSG00000170889","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"902020","ENSG00000171155","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"904974","ENSG00000171357","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"913355","ENSG00000171853","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"917005","ENSG00000172115","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"923437","ENSG00000172568","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"923750","ENSG00000172590","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"923831","ENSG00000172594","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"925009","ENSG00000172717","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"926568","ENSG00000172803","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"927197","ENSG00000172831","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"928459","ENSG00000172938","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"932119","ENSG00000173221","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"932435","ENSG00000173237","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"935456","ENSG00000173480","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"937839","ENSG00000173660","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"940718","ENSG00000173889","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"943037","ENSG00000174099","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"944473","ENSG00000174225","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"946264","ENSG00000174429","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"946423","ENSG00000174442","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"947781","ENSG00000174527","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"948332","ENSG00000174586","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"948811","ENSG00000174611","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"950076","ENSG00000174775","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"954765","ENSG00000175155","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"955885","ENSG00000175216","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"956045","ENSG00000175221","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"960420","ENSG00000175602","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"969547","ENSG00000176515","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"971462","ENSG00000176697","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"973196","ENSG00000176890","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"974224","ENSG00000176946","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"974531","ENSG00000176978","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"975170","ENSG00000177030","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"978897","ENSG00000177414","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"981194","ENSG00000177595","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"983804","ENSG00000177842","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"984121","ENSG00000177875","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"984595","ENSG00000177932","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"986353","ENSG00000178057","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"988653","ENSG00000178243","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"989445","ENSG00000178358","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"989683","ENSG00000178381","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
