GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000165966,Strong,Moderate,Strong,Strong,Strong,Moderate
ENSG00000165970,Strong,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000165997,Negative,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000166006,Negative,Moderate,Moderate,Negative,Moderate,Weak
ENSG00000166024,Negative,Weak,Negative,Weak,Moderate,Moderate
ENSG00000166037,Moderate,Moderate,Moderate,Weak,Moderate,Moderate
ENSG00000166105,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000166106,Negative,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000166147,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000166165,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000166167,Weak,Weak,Negative,Weak,Moderate,Negative
ENSG00000166171,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000166181,Weak,Moderate,Negative,Negative,Negative,Weak
ENSG00000166192,Strong,Strong,Negative,Strong,Moderate,Moderate
ENSG00000166220,Weak,Weak,Negative,Moderate,Negative,Weak
ENSG00000166263,Weak,Moderate,Weak,Moderate,Weak,Weak
ENSG00000166289,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000166295,Moderate,Moderate,Weak,Strong,Moderate,Moderate
ENSG00000166321,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000166329,Weak,Moderate,Moderate,Weak,Moderate,Weak
ENSG00000166340,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000166377,Negative,Moderate,Weak,Weak,Negative,Negative
ENSG00000166396,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000166401,Moderate,Negative,Negative,Weak,Negative,Negative
ENSG00000166436,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000166484,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000166503,Moderate,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000166510,Moderate,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000166529,Negative,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000166579,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000166596,Weak,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000166598,Strong,Strong,Strong,Strong,Negative,Negative
ENSG00000166681,Moderate,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000166685,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000166716,Weak,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000166750,Moderate,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000166801,Moderate,Moderate,Moderate,Weak,Strong,Moderate
ENSG00000166819,Moderate,Moderate,Moderate,Strong,Moderate,Weak
ENSG00000166845,Negative,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000166886,Negative,Moderate,Negative,Weak,Negative,Negative
ENSG00000166889,Weak,Weak,Moderate,Weak,Weak,Moderate
ENSG00000166902,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000166908,Negative,Moderate,Weak,Negative,Weak,Negative
ENSG00000166924,Moderate,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000166925,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000166927,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000166979,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000166984,Negative,Weak,Moderate,Moderate,Negative,Negative
ENSG00000166987,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000166997,Weak,Moderate,Negative,Weak,Weak,Negative
ENSG00000167011,Moderate,Strong,Negative,Weak,Moderate,Weak
ENSG00000167034,Negative,Negative,Moderate,Weak,Moderate,Moderate
ENSG00000167065,Moderate,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000167094,Moderate,Moderate,Negative,Weak,Moderate,Moderate
ENSG00000167107,Moderate,Moderate,Negative,Weak,Negative,Moderate
ENSG00000167110,Negative,Moderate,Moderate,Negative,Negative,Moderate
ENSG00000167112,Moderate,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000167130,Negative,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000167136,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000167157,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167183,Negative,Moderate,Moderate,Negative,Negative,Weak
ENSG00000167194,Weak,Weak,Weak,Weak,Weak,Moderate
ENSG00000167216,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000167244,Weak,Moderate,Negative,Negative,Weak,Negative
ENSG00000167281,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167291,Negative,Moderate,Weak,Negative,Negative,Weak
ENSG00000167306,Weak,Moderate,Moderate,Strong,Moderate,Weak
ENSG00000167323,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000167325,Negative,Negative,Negative,Weak,Negative,Weak
ENSG00000167333,Strong,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000167346,Strong,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000167377,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167384,Moderate,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000167447,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000167483,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000167491,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000167515,Weak,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000167525,Moderate,Weak,Weak,Weak,Weak,Moderate
ENSG00000167528,Moderate,Moderate,Negative,Negative,Negative,Moderate
ENSG00000167536,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167543,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000167549,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167604,Moderate,Strong,Strong,Strong,Strong,Strong
ENSG00000167632,Negative,Negative,Negative,Moderate,Weak,Negative
ENSG00000167641,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000167656,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167657,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000167693,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167699,Moderate,Moderate,Strong,Strong,Strong,Moderate
ENSG00000167701,Weak,Moderate,Moderate,Weak,Strong,Moderate
ENSG00000167702,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167703,Weak,Negative,Negative,Negative,Moderate,Negative
ENSG00000167711,Negative,Strong,Weak,Strong,Strong,Strong
ENSG00000167716,Weak,Moderate,Negative,Weak,Negative,Negative
ENSG00000167721,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000167741,Moderate,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000167754,Weak,Moderate,Moderate,Moderate,Weak,Negative
ENSG00000167757,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000167759,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000167766,Moderate,Strong,Negative,Strong,Moderate,Moderate
ENSG00000167768,Negative,Negative,Negative,Negative,Strong,Negative
ENSG00000167769,Weak,Weak,Negative,Moderate,Negative,Negative
ENSG00000167772,Moderate,Moderate,Moderate,Moderate,Negative,Weak
ENSG00000167778,Strong,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000167840,Moderate,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000167861,Negative,Negative,Negative,Negative,Negative,Negative
