GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000000460,Moderate,Moderate,Negative,Moderate,Strong,Moderate
ENSG00000000971,Strong,Strong,Moderate,Negative,Moderate,Weak
ENSG00000001036,Moderate,Strong,Weak,Moderate,Weak,Moderate
ENSG00000001084,Strong,Moderate,Strong,Moderate,Strong,Moderate
ENSG00000001167,Negative,Weak,Negative,Weak,Moderate,Moderate
ENSG00000001460,Negative,Moderate,Weak,Negative,Weak,Negative
ENSG00000001617,Negative,Strong,Moderate,Weak,Negative,Negative
ENSG00000001626,Negative,Moderate,Negative,Weak,Negative,Weak
ENSG00000001629,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000001631,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000002549,Strong,Strong,Strong,Strong,Strong,Moderate
ENSG00000002745,Negative,Weak,Negative,Moderate,Moderate,Negative
ENSG00000003056,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000003147,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000003402,Moderate,Strong,Strong,Negative,Weak,Strong
ENSG00000003436,Weak,Strong,Weak,Strong,Negative,Weak
ENSG00000003756,Moderate,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000004139,Negative,Weak,Weak,Weak,Negative,Weak
ENSG00000004468,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000004534,Weak,Strong,Negative,Weak,Moderate,Weak
ENSG00000004660,Weak,Moderate,Weak,Moderate,Negative,Negative
ENSG00000004700,Weak,Negative,Weak,Moderate,Negative,Negative
ENSG00000004766,Negative,Weak,Negative,Weak,Weak,Weak
ENSG00000004776,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000004777,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000004846,Moderate,Moderate,Strong,Strong,Strong,Moderate
ENSG00000004864,Strong,Strong,Moderate,Moderate,Strong,Strong
ENSG00000004897,Negative,Moderate,Weak,Strong,Strong,Negative
ENSG00000004948,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000004975,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000005007,Negative,Weak,Weak,Negative,Weak,Negative
ENSG00000005020,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000005073,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000005102,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000005175,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000005302,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000005379,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000005381,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000005448,Moderate,Strong,Weak,Moderate,Strong,Moderate
ENSG00000005513,Negative,Weak,Moderate,Moderate,Negative,Moderate
ENSG00000005700,Moderate,Moderate,Weak,Weak,Moderate,Moderate
ENSG00000005801,Weak,Weak,Weak,Weak,Weak,Weak
ENSG00000005810,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000005844,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000005884,Negative,Strong,Negative,Negative,Negative,Weak
ENSG00000005893,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000005961,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000006025,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000006071,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000006114,Strong,Strong,Strong,Moderate,Moderate,Strong
ENSG00000006125,Negative,Weak,Moderate,Moderate,Moderate,Weak
ENSG00000006194,Weak,Moderate,Strong,Moderate,Moderate,Strong
ENSG00000006282,Moderate,Moderate,Weak,Weak,Moderate,Strong
ENSG00000006377,Strong,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000006453,Moderate,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000006530,Moderate,Strong,Negative,Negative,Moderate,Negative
ENSG00000006555,Moderate,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000006607,Moderate,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000006611,Weak,Moderate,Weak,Moderate,Weak,Weak
ENSG00000006625,Moderate,Strong,Strong,Strong,Strong,Strong
ENSG00000006652,Moderate,Moderate,Negative,Weak,Moderate,Weak
ENSG00000006695,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000006715,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000006744,Weak,Strong,Moderate,Strong,Weak,Moderate
ENSG00000006747,Negative,Negative,Negative,Weak,Negative,Weak
ENSG00000006837,Weak,Weak,Weak,Weak,Weak,Weak
ENSG00000007001,Weak,Negative,Weak,Weak,Weak,Negative
ENSG00000007062,Moderate,Weak,Moderate,Strong,Weak,Weak
ENSG00000007174,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000007202,Negative,Moderate,Negative,Weak,Negative,Weak
ENSG00000007255,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000007350,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000007372,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000007376,Moderate,Strong,Weak,Strong,Strong,Strong
ENSG00000007392,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000007402,Moderate,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000007516,Moderate,Weak,Negative,Moderate,Moderate,Moderate
ENSG00000007541,Negative,Weak,Negative,Moderate,Weak,Negative
ENSG00000007908,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000007923,Strong,Negative,Negative,Negative,Negative,Negative
ENSG00000008018,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000008128,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000008196,Strong,Strong,Strong,Negative,Negative,Negative
ENSG00000008226,Moderate,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000008311,Moderate,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000008382,Moderate,Moderate,Weak,Weak,Moderate,Negative
ENSG00000008517,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000008735,Negative,Weak,Negative,Moderate,Weak,Weak
ENSG00000009954,Negative,Moderate,Moderate,Weak,Strong,Moderate
ENSG00000010017,Negative,Negative,Negative,Weak,Weak,Moderate
ENSG00000010030,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000010072,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000010219,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000010256,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000010270,Moderate,Moderate,Weak,Weak,Moderate,Moderate
ENSG00000010292,Moderate,Moderate,Strong,Strong,Moderate,Weak
ENSG00000010318,Negative,Moderate,Moderate,Moderate,Negative,Negative
ENSG00000010322,Negative,Moderate,Negative,Moderate,Negative,Moderate
ENSG00000010539,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000010626,Weak,Weak,Negative,Weak,Weak,Weak
ENSG00000010810,Weak,Moderate,Weak,Negative,Negative,Negative
ENSG00000010932,Moderate,Strong,Moderate,Moderate,Moderate,Strong
ENSG00000011021,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000011028,Negative,Negative,Negative,Weak,Weak,Negative
ENSG00000011052,Strong,Strong,Strong,Moderate,Weak,Weak
ENSG00000011143,Weak,Moderate,Negative,Negative,Moderate,Weak
ENSG00000011258,Moderate,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000011260,Moderate,Moderate,Negative,Moderate,Weak,Moderate
ENSG00000011275,Moderate,Moderate,Moderate,Strong,Moderate,Negative
ENSG00000011405,Strong,Strong,Moderate,Moderate,Moderate,Strong
ENSG00000011451,Strong,Moderate,Moderate,Moderate,Strong,Strong
ENSG00000011485,Strong,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000011566,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000012048,Weak,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000012061,Strong,Strong,Weak,Strong,Strong,Moderate
ENSG00000012124,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000012660,Strong,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000013288,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000013375,Moderate,Negative,Negative,Weak,Negative,Weak
ENSG00000013392,Moderate,Moderate,Weak,Strong,Strong,Moderate
ENSG00000013441,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000013619,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000013810,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000014123,Moderate,Weak,Weak,Moderate,Moderate,Moderate
ENSG00000014138,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000014164,Weak,Moderate,Moderate,Weak,Moderate,Weak
ENSG00000014641,Moderate,Weak,Weak,Moderate,Moderate,Moderate
ENSG00000014914,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000015153,Negative,Moderate,Negative,Moderate,Weak,Weak
ENSG00000015171,Strong,Weak,Strong,Strong,Negative,Strong
ENSG00000015479,Moderate,Weak,Negative,Strong,Moderate,Moderate
ENSG00000015520,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000015592,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000015676,Weak,Moderate,Negative,Negative,Strong,Moderate
ENSG00000016402,Strong,Strong,Strong,Strong,Weak,Strong
ENSG00000018189,Strong,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000018236,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000018408,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000018510,Weak,Moderate,Weak,Strong,Negative,Strong
ENSG00000018610,Moderate,Strong,Moderate,Moderate,Moderate,Negative
ENSG00000018625,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000018699,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000018869,Moderate,Moderate,Negative,Moderate,Negative,Moderate
ENSG00000019102,Negative,Moderate,Negative,Moderate,Negative,Weak
ENSG00000019505,Strong,Strong,Weak,Strong,Strong,Strong
ENSG00000019991,Strong,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000019995,Strong,Weak,Moderate,Moderate,Weak,Moderate
ENSG00000020129,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000020256,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000021355,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000021574,Weak,Moderate,Negative,Weak,Moderate,Moderate
ENSG00000021762,Negative,Strong,Negative,Negative,Moderate,Weak
ENSG00000021826,Strong,Strong,Strong,Moderate,Strong,Strong
ENSG00000021852,Negative,Weak,Negative,Weak,Weak,Weak
ENSG00000022556,Weak,Weak,Weak,Moderate,Moderate,Weak
ENSG00000022840,Weak,Negative,Negative,Negative,Negative,Negative
ENSG00000023330,Strong,Moderate,Moderate,Strong,Moderate,Weak
ENSG00000023572,Moderate,Negative,Negative,Negative,Weak,Negative
ENSG00000023734,Strong,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000023839,Moderate,Moderate,Weak,Moderate,Negative,Strong
ENSG00000023909,Moderate,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000024048,Strong,Strong,Weak,Strong,Moderate,Moderate
ENSG00000025156,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000025293,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000025772,Weak,Weak,Negative,Negative,Weak,Negative
ENSG00000025800,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000026103,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000026297,Negative,Negative,Negative,Strong,Negative,Negative
ENSG00000026559,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000027001,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000027075,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000027644,Negative,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000027697,Moderate,Moderate,Negative,Moderate,Weak,Moderate
ENSG00000028116,Negative,Moderate,Negative,Weak,Moderate,Moderate
ENSG00000028310,Moderate,Negative,Weak,Negative,Weak,Negative
ENSG00000029363,Strong,Strong,Moderate,Strong,Moderate,Strong
ENSG00000029639,Negative,Moderate,Negative,Weak,Negative,Weak
ENSG00000029725,Weak,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000030582,Moderate,Strong,Negative,Moderate,Strong,Strong
ENSG00000031081,Weak,Weak,Negative,Moderate,Negative,Negative
ENSG00000032389,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000032742,Negative,Negative,Negative,Weak,Weak,Moderate
ENSG00000033030,Weak,Strong,Negative,Moderate,Moderate,Weak
ENSG00000033050,Weak,Strong,Negative,Moderate,Strong,Weak
ENSG00000033100,Weak,Moderate,Negative,Weak,Weak,Negative
ENSG00000033627,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000034152,Weak,Weak,Negative,Weak,Weak,Weak
ENSG00000034239,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000034677,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000034713,Moderate,Negative,Negative,Moderate,Negative,Weak
ENSG00000034971,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000035141,Moderate,Strong,Moderate,Strong,Strong,Moderate
ENSG00000035499,Moderate,Moderate,Moderate,Weak,Weak,Negative
ENSG00000036257,Negative,Negative,Strong,Moderate,Weak,Negative
ENSG00000037042,Weak,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000037241,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000037637,Moderate,Moderate,Negative,Weak,Weak,Weak
ENSG00000037897,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000038002,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000038219,Negative,Negative,Moderate,Moderate,Moderate,Negative
ENSG00000038274,Moderate,Moderate,Negative,Strong,Weak,Moderate
ENSG00000038358,Negative,Moderate,Negative,Weak,Moderate,Negative
ENSG00000039068,Strong,Strong,Moderate,Moderate,Strong,Strong
ENSG00000039139,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000039319,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000040341,Negative,Strong,Moderate,Moderate,Weak,Moderate
ENSG00000041353,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000041515,Moderate,Moderate,Negative,Weak,Negative,Negative
ENSG00000041802,Strong,Negative,Strong,Moderate,Strong,Moderate
ENSG00000042062,Weak,Moderate,Moderate,Negative,Weak,Negative
ENSG00000042304,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000042493,Weak,Negative,Weak,Weak,Weak,Weak
ENSG00000043039,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000043514,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000044090,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000044115,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000044574,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000046647,Weak,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000046651,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000047056,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000047188,Moderate,Moderate,Moderate,Moderate,Negative,Moderate
ENSG00000047249,Moderate,Moderate,Moderate,Weak,Negative,Negative
ENSG00000047410,Strong,Strong,Weak,Strong,Moderate,Moderate
ENSG00000047579,Negative,Moderate,Weak,Strong,Moderate,Weak
ENSG00000047597,Strong,Strong,Weak,Moderate,Strong,Strong
ENSG00000047617,Moderate,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000047648,Moderate,Strong,Negative,Strong,Moderate,Moderate
ENSG00000047932,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000048052,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000048162,Moderate,Strong,Weak,Moderate,Moderate,Negative
ENSG00000048405,Weak,Moderate,Weak,Strong,Moderate,Weak
ENSG00000048462,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000048544,Moderate,Strong,Moderate,Strong,Moderate,Strong
ENSG00000048740,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000048828,Moderate,Strong,Moderate,Strong,Strong,Moderate
ENSG00000049246,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000049449,Negative,Negative,Negative,Weak,Weak,Negative
ENSG00000049540,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000049541,Negative,Strong,Negative,Negative,Negative,Negative
ENSG00000049768,Moderate,Moderate,Strong,Negative,Negative,Negative
ENSG00000050327,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000050405,Weak,Moderate,Negative,Weak,Weak,Negative
ENSG00000050748,Strong,Strong,Strong,Strong,Weak,Strong
ENSG00000050820,Moderate,Weak,Weak,Negative,Weak,Negative
ENSG00000051108,Moderate,Moderate,Moderate,Strong,Strong,Moderate
ENSG00000051523,Negative,Negative,Negative,Moderate,Moderate,Moderate
ENSG00000051825,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000052344,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000052723,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000053328,Moderate,Strong,Weak,Strong,Moderate,Moderate
ENSG00000053371,Moderate,Moderate,Weak,Moderate,Moderate,Strong
ENSG00000053372,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000053501,Weak,Moderate,Negative,Negative,Moderate,Negative
ENSG00000053900,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000053918,Negative,Negative,Negative,Negative,Moderate,Weak
ENSG00000054116,Negative,Weak,Weak,Negative,Negative,Negative
ENSG00000054148,Moderate,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000054267,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000054523,Weak,Moderate,Negative,Weak,Negative,Negative
ENSG00000054793,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000054938,Moderate,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000054965,Weak,Moderate,Negative,Strong,Moderate,Negative
ENSG00000054983,Weak,Negative,Negative,Negative,Negative,Negative
ENSG00000055044,Negative,Strong,Strong,Strong,Negative,Moderate
ENSG00000055070,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000055147,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000055332,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000055732,Moderate,Weak,Negative,Moderate,Negative,Moderate
ENSG00000055917,Moderate,Weak,Negative,Weak,Moderate,Weak
ENSG00000056050,Negative,Weak,Moderate,Weak,Weak,Negative
ENSG00000056291,Negative,Moderate,Moderate,Weak,Negative,Moderate
ENSG00000056661,Moderate,Moderate,Moderate,Strong,Strong,Moderate
ENSG00000056972,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000057019,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000057149,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000057468,Negative,Negative,Moderate,Weak,Negative,Negative
ENSG00000057593,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000057657,Weak,Moderate,Weak,Weak,Weak,Weak
ENSG00000057757,Negative,Moderate,Weak,Moderate,Negative,Weak
ENSG00000058085,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000058404,Moderate,Weak,Weak,Moderate,Negative,Negative
ENSG00000058668,Moderate,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000058673,Moderate,Moderate,Weak,Weak,Moderate,Moderate
ENSG00000059122,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000059588,Weak,Moderate,Negative,Weak,Negative,Negative
ENSG00000059691,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000059769,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000060069,Weak,Weak,Weak,Weak,Weak,Moderate
ENSG00000060140,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000060491,Strong,Strong,Negative,Strong,Strong,Strong
ENSG00000060566,Moderate,Strong,Moderate,Negative,Strong,Strong
ENSG00000060656,Strong,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000060688,Weak,Strong,Negative,Weak,Weak,Negative
ENSG00000061337,Moderate,Moderate,Moderate,Moderate,Negative,Negative
ENSG00000061455,Negative,Moderate,Weak,Negative,Moderate,Weak
ENSG00000061918,Strong,Strong,Strong,Strong,Moderate,Weak
ENSG00000062370,Negative,Weak,Negative,Negative,Negative,Moderate
ENSG00000062598,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000062716,Weak,Moderate,Moderate,Negative,Weak,Negative
ENSG00000063046,Moderate,Moderate,Negative,Negative,Negative,Negative
ENSG00000063241,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000063244,Strong,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000063438,Moderate,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000063660,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000063854,Moderate,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000064102,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000064115,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000064195,Negative,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000064205,Negative,Weak,Negative,Weak,Weak,Negative
ENSG00000064547,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000064601,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000064651,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000064655,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000064703,Strong,Moderate,Weak,Moderate,Weak,Weak
ENSG00000064835,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000065029,Negative,Weak,Negative,Weak,Weak,Negative
ENSG00000065057,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000065135,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000065150,Negative,Moderate,Negative,Moderate,Negative,Weak
ENSG00000065183,Negative,Negative,Moderate,Weak,Negative,Negative
ENSG00000065268,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000065308,Moderate,Strong,Strong,Strong,Strong,Strong
ENSG00000065325,Moderate,Weak,Weak,Negative,Negative,Negative
ENSG00000065413,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000065457,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000065485,Strong,Strong,Strong,Strong,Moderate,Strong
ENSG00000065491,Weak,Strong,Negative,Moderate,Weak,Weak
ENSG00000065518,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000065534,Weak,Moderate,Weak,Weak,Negative,Negative
ENSG00000065548,Strong,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000065609,Negative,Negative,Negative,Weak,Negative,Weak
ENSG00000065615,Moderate,Strong,Weak,Moderate,Strong,Moderate
ENSG00000065882,Negative,Negative,Negative,Negative,Negative,Moderate
ENSG00000066032,Moderate,Weak,Strong,Strong,Strong,Strong
ENSG00000066230,Negative,Strong,Negative,Negative,Negative,Negative
ENSG00000066322,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000066422,Strong,Strong,Strong,Strong,Strong,Negative
ENSG00000066427,Weak,Moderate,Negative,Negative,Moderate,Negative
ENSG00000066468,Negative,Negative,Strong,Moderate,Weak,Negative
ENSG00000066557,Strong,Strong,Weak,Moderate,Strong,Moderate
ENSG00000066651,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000066654,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000066739,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000066777,Moderate,Moderate,Negative,Negative,Moderate,Negative
ENSG00000066827,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000066855,Strong,Strong,Moderate,Weak,Strong,Strong
ENSG00000067057,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000067141,Negative,Weak,Negative,Moderate,Moderate,Negative
ENSG00000067225,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000067369,Weak,Moderate,Moderate,Weak,Weak,Negative
ENSG00000067445,Moderate,Weak,Weak,Moderate,Moderate,Moderate
ENSG00000067533,Moderate,Moderate,Weak,Weak,Moderate,Weak
ENSG00000067606,Negative,Moderate,Moderate,Weak,Moderate,Negative
ENSG00000067704,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000067798,Negative,Weak,Moderate,Strong,Weak,Moderate
ENSG00000068001,Negative,Negative,Negative,Moderate,Moderate,Weak
ENSG00000068120,Moderate,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000068308,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000068489,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000068654,Weak,Moderate,Moderate,Strong,Strong,Negative
ENSG00000068724,Strong,Moderate,Strong,Strong,Moderate,Strong
ENSG00000068784,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000068912,Moderate,Strong,Strong,Strong,Moderate,Moderate
ENSG00000069018,Weak,Moderate,Weak,Moderate,Negative,Negative
ENSG00000069206,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000069424,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000069712,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000069956,Strong,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000069966,Negative,Negative,Negative,Negative,Negative,Weak
ENSG00000069974,Moderate,Moderate,Weak,Moderate,Weak,Weak
ENSG00000070010,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000070018,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000070019,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000070047,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000070061,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000070087,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000070190,Strong,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000070404,Moderate,Moderate,Strong,Strong,Moderate,Weak
ENSG00000070610,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000070669,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000070718,Strong,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000070759,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000070785,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000070808,Moderate,Moderate,Weak,Moderate,Negative,Negative
ENSG00000070814,Moderate,Moderate,Moderate,Strong,Weak,Moderate
ENSG00000070886,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000070915,Negative,Weak,Negative,Weak,Negative,Weak
ENSG00000071051,Negative,Negative,Negative,Negative,Weak,Weak
ENSG00000071073,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000071127,Moderate,Negative,Negative,Strong,Strong,Moderate
ENSG00000071242,Negative,Negative,Weak,Moderate,Negative,Negative
ENSG00000071282,Negative,Negative,Weak,Weak,Negative,Negative
ENSG00000071537,Weak,Moderate,Negative,Moderate,Weak,Weak
ENSG00000071539,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000071564,Negative,Weak,Negative,Negative,Moderate,Weak
ENSG00000071889,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000071994,Negative,Strong,Weak,Moderate,Moderate,Weak
ENSG00000072042,Moderate,Moderate,Negative,Strong,Moderate,Weak
ENSG00000072071,Weak,Negative,Negative,Strong,Moderate,Moderate
